year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,175
2020,cancers,20,female,total,276
2020,cancers,25,female,total,418
2020,cancers,30,female,total,523
2020,cancers,35,female,total,499
2020,cancers,40,female,total,402
2020,cancers,45,female,total,337
2020,cancers,50,female,total,255
2020,cancers,55,female,total,198
2020,cancers,60,female,total,153
2020,cancers,65,female,total,131
2020,cancers,70,female,total,131
2020,cancers,75,female,total,101
2020,cancers,80,female,total,85
2020,cancers,85,female,total,107
